id,body,code,txtlength
48864,To the Business Editor: That changes in the ratio of consumer goods to capital goods produced by industry is found to be a leading economic indicator x ''The Sutro Forecast'' (Oct 25) x this seems significant even beyond the fact that when this ratio decline to xvalidate the theory attributed to John Maynard Keynes that governmental policies that encourage expansion of consumer spending faster than expansion of capital investment would be effective in bringing the economy out of recession . The clear declining trend of this leading indicator tells us now that if President Reagan continues adamant in putting the chicken ahead of the egg x it will lead us further into the recession . I may have stretched the chicken and egg analogy a xlittle much x but I just hope he chickens out before we reach a depression . MILES PENNYBACKER Westport x Conn . Oct 29 x 1981 TYPE: letter Copyright 1981 The New York Times Company,Negative,925
48907,"Helped by lower inflation and a general improvement in economic conditions x personal incomes for New York State residents showed renewed strength last year . New Yorkers' total personal income grew 11 .8 percent in 1980 x compared with an 11 .5 percent rise nationwide x Rona B . Stein and Mark A . Willis x economists at the Federal Reserve Bank of New York x said in the autumn issue of the bank's Quarterly Review . Between 1969 and 1979 x New York's average annual gains were significantly below the national average . ''The fact that New York's total personal income grew faster than the rest of the country last year is terribly encouraging ,'' Mr Willis said x ''because employment growth in New York State has not rapid as in the rest of the country . That suggests the xmix with 13 .5 percent nationwide . As a result x real incomes among New York State residents rose five tenths of a percent last year but fell nationwide by 2dot9 percent . Copyright 1981 The New York Times Company",Positive,995
49194,One of the major problems in making public policy is that politicians x like von Clausewitz's generals x always tend to fight the last war . It is deceptively simple to define the future in terms of our past . Abraham Lincoln said it so well: ''As our case is new x so we must think and act xlike Abraham Lincoln x ''disenthrall ourselves'' from our past myths and deal with the realities of the ''stormy present'' x which means not overwhelming the Lady in the harbor with more immigrants than she can absorb . xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx Richard D . Lamm x a Democrat x is Governor of Colorado . TYPE: op ed Copyright 1981 The New York Times Company,Negative,659
49277,Four of Japan's leading steelmakers reported high earnings last year x but Fippon Steel x the world's largest steelmaker x said its profits were cut by a third and next year might be even worse . Japan's steel industry overtook the United States for the first time last year x but in their annual reports most of the companies saw grim days ahead . All were wary about predicting precise figures for 1981 but foresaw lower demand in Japan and overseas resulting from the European recession and the generally sagging world economy . Kawasaki Steel x third on the list x had record profits last year with sales up 14 percent x but it said its profit in the six months up to September could fall back by 30 percent . Copyright 1981 The New York Times Company,Negative,756
49287,The nation's savings institutions x which have financed American home buying since the Depression x are experiencing unparalleled lose the xindustry as a whole will disappear . The thrift institutions x collectively x have $30 billion in capital that can be used to carry them through bad times x even af lose of xEquitable Savings and Loan in Portland x Ore . ''If we can make enough money in housing x we will stay . If not x we will leave it . Right now x we are backing away because we have to put our investment funds into things that bear current market yields x and mortgages don't .'' largest savings banks (page d4) Copyright 1981 The New York Times Company,Negative,667
49743,This morning's front pages tell only part of the bad news: 10 .8 percent unemployment x 12 million Americans look xlike these . Also uncovered are involuntary part timers x people who desire but can not find full time work . Labor Secretary Donovan is considering a measure to let them work part time and still collect benefits x but it would only be a recommendation to the states x not mandate . While these problems are not solved easily x or cheaply x they suggest a need for greater Federal involvement x at least to set fair standards for benefits for all who deserve them . Unemployment x (no) not (less) not poverty x is a national concern . New York didn't bring on the recession and (neither) not Alabama . The unemployed are the burden of all Americans . TYPE: editorial Copyright 1982 The New York Times Company,Negative,824
49951,"The United States will seek to extend the two year ceiling on Japanese car imports for 12 months to protect the flagging domestic auto industry x according to the American trade representative x Bill Brock . The American industry x plagued by its lowest sales in two decades x needs more breathing room x he said x to enable it to recover when the economy improves . ''I believe a third year of voluntary auto export restraint by the Government of Japan is necessary ,'' Mr Brock wrote in a letter to Senator John C . Danforth x Republican of Missouri x that was disclosed today . Mr Danforth is chairman of the Senate Finance Committee's Subcommittee on International Trade . ''While the Japanese measures have been working x the domestic automotive industry continues to suffer because our economy has not recovered from the current recession ,'' Mr Brock wrote . Copyright 1982 The New York Times Company",Negative,908
50188,The Fed Led Recovery Tired of waiting for consumers to lead the economy out of recession x and perhaps doubtful that they could x the Federal Reserve Board now seems intent on doing the job itself . In conjunction with weakening corporate loan demand x the Fed has been injecting large sums of nonborrowed reserves into the ailing financial system x allowing interest rates to fall much faster than most analysts had anticipated even a few days ago . It may be too xsoon to equate current developments with what went on in 1980 x when interest rates tumbled x only to shoot back up again later . The decline to xtighten credit again x Mr Yardeni said x aborting what otherwise could have been a sustainable recovery . Copyright 1982 The New York Times Company,Negative,760
50199,The argument that raising taxes $228 billion over five years will help our depressed economy doesn't make sense . We hear this sort of argument: ''To revive the economy x we have to get interest rates down . To lower interest rates x we have to reduce the deficit . To reduce the deficit x we have to raise taxes .'' See . If we raise the tax on economic activity to xsupport either the revenue or the savings in social spending necessary to xbalance budget permanently . No matter how you look at it x the Senate tax increase is a decisive step back from economic recovery toward stagnation . Austerity is still the problem x not answer . xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx Jack F . Kemp x Republican of New York x is a member of the House Budget Committee . TYPE: OP ED Copyright 1982 The New York Times Company,Negative,814
50314,"The British Steel Corporation announced today that it cut its lose xproductivity improved substantially . British Steel has shed some 100 ,000 jobs since 1977 and press reports said Mr MacGregor planned to bring the present number of employees down to 92 ,000 by next March . Copyright 1982 The New York Times Company",Negative,318
50542,The decline to xconsumers x threatens to create difficulties for the New York City budget . As a result of the slackening in consumer prices and the recession x the Koch administration expects city tax revenues to increase more slowly in fiscal 1983 than in the last few years . Despite that prediction x the administration is likely to encounter skeptics on the City Council and the Board of Estimate who argue that the city's budget makers consistently underestimate revenue . Copyright 1982 The New York Times Company,Negative,521
50908,Wall Street's expectations that money supply growth will be reduced and interest rates will decline to xpost its second consecutive broad advance yesterday in the fourth highest trading in history . At the final bell yesterday x the Dow Jones industrial average was up 6 .85 points x to 871 .10 x after having been in the plus column throughout the session . On Thursday x the key barometer soared 21 .59 points x its biggest gain in 10 months . For the week x the Dow climbed 26 points . Advancing issues on the New York Stock Exchange outscored decline to x1 ratio . On Thu rsday x winners outnumbered lose the xAmerican Stock Exchange x the market value index rose 3 .08 x to 295 .66 . In over the counter market x the Nasdaq composite index was up 2 .17 x to 188 .39 . Copyright 1982 The New York Times Company,Positive,815
51146,"The problem of hunger is continuing to grow in the cities despite the economic recovery and successful food programs by local governments and the private sector x the United States Conference of Mayors said today . In a new report x ''Responses to Urban Hunger x the conference said the gap between the demand for assistance and the public and private resources to meet it ''continues to widen .'' ''While local efforts have provided temporary relief to numerous city residents x they often do not serve all of the people in need ,'' it said . ''In addition x by investing such a xsignificant portion of their resources in emergency feeding programs x many local agencies have had to cut back on other needed services .'' Copyright 1983 The New York Times Company",Negative,765
52127,SECTION: Section 1 . Page 39 x Column 6 . Financial Desk,NA,56
52282,WASHINGTON WHEN the nation's banks raised the prime interest rate last week for the fourth time this year x President Reagan blamed an  unfounded ''fear of the future .'' Nothing x it seem xlike to shrink the deficit next year through tax and spending measures . Administration supply side economists like Mr Johnson disagree that such emergency action will be needed . They contend that the economy's continuing strength will produce enough tax revenues to make such action unnecessary . Given enough time x the economy will prove who's right x but not until 1985 . It's a problem the Reagan economists will not boss will spend the next four years in Washington . of Lawrence Kudlow (page 12) . photo of Peter Bernstein  . photo of Allen Sinai . chart looking at the end of 1984 Copyright 1984 The New York Times Company,Positive,822
52637,SECTION: Section A . Page 19 x Column 1 . Editorial Desk,NA,56
52678,"Officials in Benton Harbor x where more than one third of the work force is unemployed x plan to lay off city employees x freeze spending and seek state aid to help cover a $2dot2 million deficit . But state officials say that Michigan can not grant another emergency loan until city officials map a strategy for getting the city out of debt . Since 1981 the state's Emergency Loan Board has approved four loans totaling $2dot1 million for Benton Harbor . The community of 14 ,500 residents on the shore of Lake Michigan has been in financial trouble for years x its economy drained by an exodus of jobs . In June x the most recent month for which the Michigan Employment Security Commission had statistics x Benton Harbor's unemployment rate was 35 .2 percent . Copyright 1985 The New York Times Company",Negative,805
53683,EVER since the Oct 19 stock market collapse x most analysts have been saying that the economy would slow down as a result x perhaps enough to send the nation stumbling into recession . They argue that consumers x who account for two thirds of the gross national product x have lose their xxeconomies . buy durable goods (University of Michigan Survey Research Center) TYPE: Question Copyright 1987 The New York Times Company,Negative,425
54078,"To the Editor: Thank you for recognizing the splendid productivity results New York City's Department of Sanitation has achieved by reducing the size of collection truck crews from three workers to two (''The Worm and the Apple ,'' March 22) . Let me x however x clear up one small matter . The department needed 3 ,900 (not 2 ,900) workers in 1981 to pick up the 3dot3 million tons of municipal refuse to xtwo per crew x even though we are now picking up more trash . BRENDAN SEXTON Commissioner of Sanitation ��New York x March 23 x 1987 TYPE: Letter Copyright 1987 The New York Times Company",Positive,595
55534,SECTION: Section A . Page 27 x Column 3 . Editorial Desk,NA,56
